A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,3,,,
A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,1,,,,,,,,4,
A,,,,1,,,,2,,,,1,,,,,,,
A,1,,1,3,,2,1,,,,,,,4,,,,,
A,4,,,2,,,,,3,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
A,,,,,,3,,,,,,,,,,,,3,4
A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,4,,,,
A,2,,,,2,,3,,,,,,2,2,,,2,,
A,,,3,,,,,,,2,,4,,,,,,2,3
A,,,,,,,,,,,,,,,,,4,,
A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,3,,,,,
A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
A,,,,,,4,,,1,,,,3,,,,,,1
A,,,4,4,3,,4,4,4,,,3,1,,,4,,1,
A,,,,,,,,,,,,,,,,,,,
A,,,,,1,,,,,,2,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
A,,1,,,,,,1,,,4,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,3,,
A,,3,,,,,,,,,,,,,3,,,,
A,,,,,,,,,,,,,,,,,,,
A,,,,,4,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,1,,
A,,,,,,,,,,,,,,,,,,,
A,3,,,,,,,,,,,,,,,,,,
A,,,2,,,,,,,,1,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
A,,2,,,,,,3,,,,,,,1,,,,
A,,,,,,,,,,,,,,,,,,,2
A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
A,,,,,,,2,,,3,,2,,,,2,,,
A,,4,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,2,,,,
A,,,,,,1,,,,4,,,4,,,1,,,
A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,1,,,,,
A,,,,,,,,,2,,3,,,,,,,,
